Store,Date,Cigarette Name,Cigarette UPC,Sell Unit Quantity,Item Number,Cost,Sales,Quantity Sold
3,5/2/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,6.22,6.2,1
3,5/2/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,12.44,9.5,2
3,5/3/20,NEWPORT SMOOTH SELECT 100 BX,2610000668,1,50823,12.44,9.5,2
3,2/8/20,NEWPORT SMOOTH SELECT BX,2610000670,1,50871,6.11,5.93,1
3,2/18/20,NEWPORT SMOOTH SELECT BX,2610000670,1,50871,6.22,6.05,1
3,2/22/20,NEWPORT SMOOTH SELECT BX,2610000670,1,50871,6.22,6.05,1
3,2/23/20,NEWPORT SMOOTH SELECT BX,2610000670,1,50871,12.44,12.1,2
3,3/14/20,NEWPORT SMOOTH SELECT BX,2610000670,1,50871,6.22,6.05,1
3,3/21/20,NEWPORT SMOOTH SELECT BX,2610000670,1,50871,12.44,12.1,2
3,4/6/20,NEWPORT SMOOTH SELECT BX,2610000670,1,50871,12.44,12.1,2
3,4/18/20,NEWPORT SMOOTH SELECT BX,2610000670,1,50871,6.22,6.2,1
3,2/11/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.71,4.33,1
3,2/13/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,9.42,8.66,2
3,2/14/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,47.09,43.3,10
3,2/16/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,23.55,21.65,5
3,2/17/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,9.42,8.66,2
3,2/18/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,14.43,13.11,3
3,2/19/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,14.43,13.35,3
3,2/20/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,14.43,13.35,3
3,2/21/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,62.54,57.85,13
3,2/23/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,52.92,48.95,11
3,2/24/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,9.62,8.9,2
3,2/25/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,2/26/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,2/27/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,2/28/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,3/9/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,24.06,22.25,5
3,3/10/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,3/13/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,86.6,80.1,18
3,3/14/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,24.06,22.25,5
3,3/15/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,9.62,8.9,2
3,3/18/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,3/19/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,14.43,13.35,3
3,3/20/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,24.06,22.25,5
3,3/21/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,9.62,8.9,2
3,3/22/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,9.62,8.9,2
3,3/23/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,9.62,8.9,2
3,3/24/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,19.24,17.8,4
3,4/14/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,62.54,55.9,13
3,4/16/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,4/17/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,19.24,17.2,4
3,4/18/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,4/18/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,9.62,8.6,2
3,4/19/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,62.54,55.9,13
3,4/21/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,4/21/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,14.43,12.9,3
3,4/22/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,4/24/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,4/24/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,28.87,25.8,6
3,4/25/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,4.81,4.45,1
3,4/26/20,PALL MALL BLUE BX 100  50 OFF,2720000387,1,50755,14.43,12.9,3
3,3/10/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,24.06,22.25,5
3,3/12/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,24.06,22.25,5
3,3/13/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,4.81,4.45,1
3,3/14/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,24.06,22.25,5
3,3/15/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,19.24,17.8,4
3,3/16/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,19.24,17.8,4
3,3/17/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,24.06,22.25,5
3,3/18/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,24.06,22.25,5
3,4/13/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,4.81,4.45,1
3,4/13/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,19.24,17.2,4
3,4/14/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,4.81,4.45,1
3,4/14/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,28.87,25.8,6
3,4/15/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,9.62,8.9,2
3,4/16/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,4.81,4.45,1
3,4/16/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,14.43,12.9,3
3,4/17/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,4.81,4.45,1
3,4/17/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,24.06,21.5,5
3,4/18/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,9.62,8.9,2
3,4/19/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,9.62,8.6,2
3,4/20/20,PALL MALL BLUE BX KS  50 OFF,2720000388,1,50732,52.92,47.3,11
3,2/5/20,PALL MALL CLAS M SILVER BX 100,2720000417,1,50885,5.21,4.83,1
3,3/11/20,PALL MALL CLAS M SILVER BX 100,2720000417,1,50885,10.62,9.9,2
